25-01-20,US,1,0,0
25-01-20,US,1,0,0
25-01-20,Japan,2,0,0
25-01-20,Thailand,7,0,0
25-01-20,South Korea,2,0,0
25-01-20,Singapore,3,0,0
25-01-20,Vietnam,2,0,0
25-01-20,France,3,0,0
25-01-20,Australia,4,0,0
25-01-20,Nepal,1,0,0
25-01-20,Malaysia,3,0,0
26-01-20,Mainland China,1058,52,42
26-01-20,Mainland China,111,0,2
26-01-20,Mainland China,104,0,1
26-01-20,Mainland China,83,1,0
26-01-20,Mainland China,75,0,0
26-01-20,Mainland China,69,0,0
26-01-20,Mainland China,68,0,2
26-01-20,Mainland China,60,0,0
26-01-20,Mainland China,46,0,0
26-01-20,Mainland China,44,0,0
26-01-20,Mainland China,40,1,1
26-01-20,Mainland China,36,0,0
26-01-20,Mainland China,36,0,0
26-01-20,Mainland China,35,0,0
26-01-20,Mainland China,33,0,1
26-01-20,Mainland China,22,0,0
26-01-20,Mainland China,22,0,0
26-01-20,Mainland China,21,0,0
26-01-20,Mainland China,16,0,0
26-01-20,Mainland China,15,1,0
26-01-20,Mainland China,14,0,0
26-01-20,Mainland China,13,1,0
26-01-20,Mainland China,9,0,0
26-01-20,Hong Kong,8,0,0
26-01-20,Mainland China,7,0,0
26-01-20,Mainland China,7,0,0
26-01-20,Mainland China,5,0,0
26-01-20,Macau,5,0,0
26-01-20,Mainland China,4,0,0
26-01-20,Mainland China,4,0,0
26-01-20,Taiwan,4,0,0
26-01-20,Mainland China,4,0,0
26-01-20,Mainland China,1,0,0
26-01-20,US,1,0,0
26-01-20,US,1,0,0
26-01-20,US,2,0,0
26-01-20,US,1,0,0
26-01-20,Japan,4,0,1
26-01-20,Thailand,8,0,2
26-01-20,South Korea,3,0,0
26-01-20,Singapore,4,0,0
26-01-20,Vietnam,2,0,0
26-01-20,France,3,0,0
26-01-20,Australia,4,0,0
26-01-20,Nepal,1,0,0
26-01-20,Malaysia,4,0,0
26-01-20,Canada,1,0,0
27-01-20,Mainland China,1423,76,45
27-01-20,Mainland China,151,0,4
27-01-20,Mainland China,128,0,1
27-01-20,Mainland China,128,1,0
27-01-20,Mainland China,110,0,0
27-01-20,Mainland China,100,0,0
27-01-20,Mainland China,80,1,2
27-01-20,Mainland China,75,0,0
27-01-20,Mainland China,72,0,2
27-01-20,Mainland China,70,0,0
27-01-20,Mainland China,69,0,0
27-01-20,Mainland China,59,0,0
27-01-20,Mainland China,53,1,3
27-01-20,Mainland China,47,0,1
27-01-20,Mainland China,46,0,0
27-01-20,Mainland China,35,0,0
27-01-20,Mainland China,33,1,0
27-01-20,Mainland China,27,0,0
27-01-20,Mainland China,26,0,0
27-01-20,Mainland China,23,0,0
27-01-20,Mainland China,21,1,0
27-01-20,Mainland China,18,1,0
27-01-20,Mainland China,14,0,0
27-01-20,Mainland China,13,0,0
27-01-20,Mainland China,11,0,0
27-01-20,Hong Kong,8,0,0
27-01-20,Mainland China,7,0,0
27-01-20,Mainland China,7,0,0
27-01-20,Mainland China,6,0,0
27-01-20,Macau,6,0,0
27-01-20,Mainland China,6,0,0
27-01-20,Taiwan,5,0,0
27-01-20,Mainland China,5,0,0
27-01-20,US,1,0,0
27-01-20,US,1,0,0
27-01-20,US,2,0,0
27-01-20,US,1,0,0
27-01-20,Japan,4,0,1
27-01-20,Thailand,8,0,2
27-01-20,South Korea,4,0,0
27-01-20,Singapore,5,0,0
27-01-20,Vietnam,2,0,0
27-01-20,France,3,0,0
27-01-20,Nepal,1,0,0
27-01-20,Malaysia,4,0,0
27-01-20,Canada,1,0,0
27-01-20,Cambodia,1,0,0
27-01-20,Sri Lanka,1,0,0
27-01-20,Ivory Coast,1,0,0
27-01-20,Australia,4,0,0
27-01-20,Australia,1,0,0
28-01-20,Mainland China,3554,125,80
28-01-20,Mainland China,207,0,4
28-01-20,Mainland China,173,0,3
28-01-20,Mainland China,168,1,0
28-01-20,Mainland China,143,0,0
28-01-20,Mainland China,132,0,0
28-01-20,Mainland China,109,0,3
28-01-20,Mainland China,106,0,0
28-01-20,Mainland China,95,0,0
28-01-20,Mainland China,91,1,4
28-01-20,Mainland China,90,0,0
28-01-20,Mainland China,80,0,0
28-01-20,Mainland China,70,0,1
28-01-20,Mainland China,66,1,4
28-01-20,Mainland China,51,0,2
28-01-20,Mainland China,46,0,0
28-01-20,Mainland China,44,0,0
28-01-20,Mainland China,40,1,0
28-01-20,Mainland China,34,0,0
28-01-20,Mainland China,33,1,0
28-01-20,Mainland China,33,1,0
28-01-20,Mainland China,27,0,0
28-01-20,Mainland China,24,0,0
28-01-20,Mainland China,19,0,0
28-01-20,Mainland China,15,0,0
28-01-20,Mainland China,11,0,0
28-01-20,Mainland China,10,0,0
28-01-20,Mainland China,9,0,0
28-01-20,Mainland China,8,0,0
28-01-20,Taiwan,8,0,0
28-01-20,Hong Kong,8,0,0
28-01-20,Macau,7,0,0
28-01-20,Mainland China,6,0,0
28-01-20,US,1,0,0
28-01-20,US,1,0,0
28-01-20,US,2,0,0
28-01-20,US,1,0,0
28-01-20,Japan,7,0,1
28-01-20,Thailand,14,0,5
28-01-20,South Korea,4,0,0
28-01-20,Singapore,7,0,0
28-01-20,Vietnam,2,0,0
28-01-20,France,4,0,0
28-01-20,Nepal,1,0,0
28-01-20,Malaysia,4,0,0
28-01-20,Canada,1,0,0
28-01-20,Canada,1,0,0
28-01-20,Cambodia,1,0,0
28-01-20,Sri Lanka,1,0,0
28-01-20,Australia,4,0,0
28-01-20,Australia,1,0,0
28-01-20,Germany,4,0,0
29-01-20,Mainland China,3554,125,88
29-01-20,Mainland China,296,0,3
29-01-20,Mainland China,277,0,5
29-01-20,Mainland China,221,0,0
29-01-20,Mainland China,206,2,1
29-01-20,Mainland China,152,0,2
29-01-20,Mainland China,147,0,1
29-01-20,Mainland China,130,0,1
29-01-20,Mainland China,111,1,4
29-01-20,Mainland China,109,0,3
29-01-20,Mainland China,108,1,1
29-01-20,Mainland China,99,0,1
29-01-20,Mainland China,96,1,5
29-01-20,Mainland China,84,0,0
29-01-20,Mainland China,58,0,2
29-01-20,Mainland China,56,0,0
29-01-20,Mainland China,55,0,0
29-01-20,Mainland China,48,1,0
29-01-20,Mainland China,43,1,0
29-01-20,Mainland China,39,0,1
29-01-20,Mainland China,38,1,0
29-01-20,Mainland China,27,0,0
29-01-20,Mainland China,27,0,1
29-01-20,Mainland China,24,0,0
29-01-20,Mainland China,16,0,0
29-01-20,Mainland China,13,0,0
29-01-20,Mainland China,12,0,0
29-01-20,Hong Kong,10,0,0
29-01-20,Mainland China,9,0,1
29-01-20,Mainland China,9,0,0
29-01-20,Taiwan,8,0,0
29-01-20,Macau,7,0,0
29-01-20,Mainland China,6,0,0
29-01-20,US,1,0,0
29-01-20,US,1,0,0
29-01-20,US,2,0,0
29-01-20,US,1,0,0
29-01-20,Japan,7,0,1
29-01-20,Thailand,14,0,5
29-01-20,South Korea,4,0,0
29-01-20,Singapore,7,0,0
29-01-20,Vietnam,2,0,0
29-01-20,France,5,0,0
29-01-20,Nepal,1,0,0
29-01-20,Malaysia,7,0,0
29-01-20,Canada,1,0,0
29-01-20,Canada,1,0,0
29-01-20,Cambodia,1,0,0
29-01-20,Sri Lanka,1,0,0
29-01-20,Australia,4,0,0
29-01-20,Australia,1,0,0
29-01-20,Germany,4,0,0
29-01-20,Finland,1,0,0
29-01-20,United Arab Emirates,4,0,0
30-01-20,Mainland China,4903,162,90
30-01-20,Mainland China,428,0,4
30-01-20,Mainland China,354,0,10
30-01-20,Mainland China,278,2,2
30-01-20,Mainland China,277,0,2
30-01-20,Mainland China,200,0,2
